,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2010-06-30,0.0,0.0962757961618,0.903724203838,0.021,0.049,0.93,0.00923219907703,0.00762876107096
2010-07-31,0.0,0.0959453261912,0.904054673809,0.019,0.051,0.93,0.00866911315796,0.010286696091
2010-08-31,6.2596441614e-20,0.0751057912108,0.924894208789,0.018,0.049,0.933,0.0134923723958,0.013361407072
2010-09-30,2.19087545649e-18,0.0487579580116,0.951242041988,0.023,0.042,0.935,0.00538610205361,0.00570215271715
2010-10-31,0.013881494745,0.0985336614403,0.887584843815,0.029,0.047,0.925,0.0133131441811,0.0114379422631
2010-11-30,0.017781782191,0.117194090078,0.865024127731,0.032,0.051,0.917,-0.000455380311412,-0.00165302626719
2010-12-31,0.0805847861349,0.117919112202,0.801496101663,0.034,0.053,0.913,-0.00746563872012,-0.0119638273639
2011-01-31,0.142009124106,0.114055961257,0.743934914636,0.04,0.058,0.902,0.00406355032828,0.00224087699445
2011-02-28,0.180432079579,0.0923447707772,0.727223149643,0.043,0.056,0.901,0.00256141807467,-0.00255873459547
2011-03-31,0.246926549263,0.0617843765687,0.691289074168,0.044,0.058,0.898,0.00610453020034,0.0105526056991
2011-04-30,0.219306606106,0.098603672278,0.682089721616,0.041,0.059,0.901,0.00938915092811,0.00504822111379
2011-05-31,0.265519251235,0.120729659216,0.613751089549,0.042,0.062,0.896,0.0151017119927,0.0171317618277
2011-06-30,0.279346335971,0.117068528012,0.603585136017,0.042,0.063,0.895,-0.00464691366806,0.00580907072608
2011-07-31,0.0875093743505,0.0867751002753,0.825715525374,0.039,0.061,0.9,0.00749615539565,0.00554812622226
2011-08-31,0.159330316238,0.0965308544137,0.744138829348,0.041,0.063,0.896,0.0108170590483,0.0227333120817
2011-09-30,0.0,0.13638075745,0.86361924255,0.041,0.063,0.896,0.00822169331768,0.00747600104867
2011-10-31,0.0,0.125820522466,0.874179477534,0.041,0.065,0.895,-0.0110527599572,-0.00628182777665
2011-11-30,7.41808764896e-18,0.119866218536,0.880133781464,0.043,0.059,0.898,0.0114642666069,0.00969865247002
2011-12-31,0.0552813152596,0.13035465989,0.81436402485,0.044,0.061,0.894,-0.00312255515217,0.000288747153732
2012-01-31,0.137079015893,0.129103760086,0.733817224021,0.045,0.058,0.897,0.0112050605733,0.00769719216874
2012-02-29,0.141198740078,0.114944272162,0.743856987761,0.044,0.059,0.897,0.0155580756966,0.00953846235003
2012-03-31,0.206586471529,0.140834910914,0.652578617557,0.046,0.061,0.893,-0.00183348313685,-0.00375014164684
2012-04-30,0.283546548374,0.136707661614,0.579745790012,0.049,0.06,0.891,0.000923481950766,0.00451616452466
2012-05-31,0.27043537861,0.113655798359,0.615908823031,0.05,0.06,0.891,-0.00860441502361,0.00304987589802
2012-06-30,0.0777982400339,0.0917871198547,0.830414640111,0.047,0.057,0.896,0.00430547327559,0.00470677179873
2012-07-31,0.0996014186248,0.0704512348825,0.829947346493,0.047,0.057,0.896,0.0108731668882,0.0103318288045
2012-08-31,0.172344309281,0.0265381307835,0.801117559935,0.047,0.056,0.896,0.00539474329238,0.00195041058961
2012-09-30,0.220768960706,0.0250408551905,0.754190184104,0.05,0.06,0.891,0.0104720784352,0.00854713284731
2012-10-31,0.3033459144,0.143033984396,0.553620101204,0.052,0.063,0.885,0.000782745183256,0.00285069926784
2012-11-30,0.27515166844,0.124008637987,0.600839693573,0.052,0.063,0.885,-0.00811371755274,1.08136593782e-05
2012-12-31,0.109496212974,0.0883713842648,0.802132402761,0.047,0.063,0.89,1.97089433277e-06,-0.00071322758848
